cell_id,POS,label,language_id
3.pl.1.pl.excl.nfut.neg,verb,3PL>1PL.EXCL.NFUT.NEG,vaiphei
3.pl.1.pl.incl.fut.aff,verb,3PL>1PL.INCL.FUT.AFF,vaiphei
3.pl.1.pl.incl.fut.neg,verb,3PL>1PL.INCL.FUT.NEG,vaiphei
3.pl.1.pl.incl.nfut.aff,verb,3PL>1PL.INCL.NFUT.AFF,vaiphei
3.pl.1.pl.incl.nfut.neg,verb,3PL>1PL.INCL.NFUT.NEG,vaiphei
3.pl.1.sg.fut.aff,verb,3PL>1SG.FUT.AFF,vaiphei
3.pl.1.sg.fut.neg,verb,3PL>1SG.FUT.NEG,vaiphei
3.pl.1.sg.nfut.aff,verb,3PL>1SG.NFUT.AFF,vaiphei
3.pl.1.sg.nfut.neg,verb,3PL>1SG.NFUT.NEG,vaiphei
3.pl.2.pl.fut.aff,verb,3PL>2PL.FUT.AFF,vaiphei
3.pl.2.pl.fut.neg,verb,3PL>2PL.FUT.NEG,vaiphei
3.pl.2.pl.nfut.aff,verb,3PL>2PL.NFUT.AFF,vaiphei
3.pl.2.pl.nfut.neg,verb,3PL>2PL.NFUT.NEG,vaiphei
3.pl.2.sg.fut.aff,verb,3PL>2SG.FUT.AFF,vaiphei
3.pl.2.sg.fut.neg,verb,3PL>2SG.FUT.NEG,vaiphei
3.pl.2.sg.nfut.aff,verb,3PL>2SG.NFUT.AFF,vaiphei
3.pl.2.sg.nfut.neg,verb,3PL>2SG.NFUT.NEG,vaiphei
3.pl.3.pl.fut.aff,verb,3PL>3PL.FUT.AFF,vaiphei
3.pl.3.pl.fut.neg,verb,3PL>3PL.FUT.NEG,vaiphei
3.pl.3.pl.nfut.aff,verb,3PL>3PL.NFUT.AFF,vaiphei
3.pl.3.pl.nfut.neg,verb,3PL>3PL.NFUT.NEG,vaiphei
3.pl.3.sg.fut.aff,verb,3PL>3SG.FUT.AFF,vaiphei
3.pl.3.sg.fut.neg,verb,3PL>3SG.FUT.NEG,vaiphei
3.pl.3.sg.nfut.aff,verb,3PL>3SG.NFUT.AFF,vaiphei
3.pl.3.sg.nfut.neg,verb,3PL>3SG.NFUT.NEG,vaiphei
3.pl.fut.aff,verb,3PL.FUT.AFF,vaiphei
3.pl.fut.neg,verb,3PL.FUT.NEG,vaiphei
3.pl.nfut.aff,verb,3PL.NFUT.AFF,vaiphei
3.pl.nfut.neg,verb,3PL.NFUT.NEG,vaiphei
3.sg.1.pl.excl.fut.aff,verb,3SG>1PL.EXCL.FUT.AFF,vaiphei
3.sg.1.pl.excl.fut.neg,verb,3SG>1PL.EXCL.FUT.NEG,vaiphei
3.sg.1.pl.excl.nfut.aff,verb,3SG>1PL.EXCL.NFUT.AFF,vaiphei
3.sg.1.pl.excl.nfut.neg,verb,3SG>1PL.EXCL.NFUT.NEG,vaiphei
3.sg.1.pl.incl.fut.aff,verb,3SG>1PL.INCL.FUT.AFF,vaiphei
3.sg.1.pl.incl.fut.neg,verb,3SG>1PL.INCL.FUT.NEG,vaiphei
3.sg.1.pl.incl.nfut.aff,verb,3SG>1PL.INCL.NFUT.AFF,vaiphei
3.sg.1.pl.incl.nfut.neg,verb,3SG>1PL.INCL.NFUT.NEG,vaiphei
3.sg.1.sg.fut.aff,verb,3SG>1SG.FUT.AFF,vaiphei
3.sg.1.sg.fut.neg,verb,3SG>1SG.FUT.NEG,vaiphei
3.sg.1.sg.nfut.aff,verb,3SG>1SG.NFUT.AFF,vaiphei
3.sg.1.sg.nfut.neg,verb,3SG>1SG.NFUT.NEG,vaiphei
3.sg.2.pl.fut.aff,verb,3SG>2PL.FUT.AFF,vaiphei
3.sg.2.pl.fut.neg,verb,3SG>2PL.FUT.NEG,vaiphei
3.sg.2.pl.nfut.aff,verb,3SG>2PL.NFUT.AFF,vaiphei
3.sg.2.pl.nfut.neg,verb,3SG>2PL.NFUT.NEG,vaiphei
3.sg.2.sg.fut.aff,verb,3SG>2SG.FUT.AFF,vaiphei
3.sg.2.sg.fut.neg,verb,3SG>2SG.FUT.NEG,vaiphei
3.sg.2.sg.nfut.aff,verb,3SG>2SG.NFUT.AFF,vaiphei
3.sg.2.sg.nfut.neg,verb,3SG>2SG.NFUT.NEG,vaiphei
3.sg.3.pl.fut.aff,verb,3SG>3PL.FUT.AFF,vaiphei
3.sg.3.pl.fut.neg,verb,3SG>3PL.FUT.NEG,vaiphei
3.sg.3.pl.nfut.aff,verb,3SG>3PL.NFUT.AFF,vaiphei
3.sg.3.pl.nfut.neg,verb,3SG>3PL.NFUT.NEG,vaiphei
3.sg.3.sg.fut.aff,verb,3SG>3SG.FUT.AFF,vaiphei
3.sg.3.sg.fut.neg,verb,3SG>3SG.FUT.NEG,vaiphei
3.sg.3.sg.nfut.aff,verb,3SG>3SG.NFUT.AFF,vaiphei
3.sg.3.sg.nfut.neg,verb,3SG>3SG.NFUT.NEG,vaiphei
3.sg.fut.aff,verb,3SG.FUT.AFF,vaiphei
3.sg.fut.neg,verb,3SG.FUT.NEG,vaiphei
3.sg.nfut.aff,verb,3SG.NFUT.AFF,vaiphei
3.sg.nfut.neg,verb,3SG.NFUT.NEG,vaiphei
